Pressure_MPa,Current_Density_mA_cm2,Capacity_Retention_percent
7.876,0.071,92.62
10.869,0.961,90.21
9.533,1.2,90.74
3.477,0.794,91.04
4.302,1.102,89.64
10.609,0.378,91.77
1.058,0.338,91.55
10.034,0.577,90.93
9.768,0.31,93.29
6.147,0.552,101.4
4.333,1.425,79.92
4.063,0.881,91.75
3.804,0.543,96.75
5.896,0.444,97.81
6.55,1.43,93.0
7.088,0.694,100.17
11.951,1.472,89.0
9.719,0.798,89.59
7.844,0.806,95.03
11.879,1.35,90.58
3.368,1.127,84.89
2.762,0.892,86.98
7.738,0.669,95.42
1.483,1.323,79.25
1.392,0.647,88.62
6.664,1.388,95.85
6.128,0.15,98.13
11.089,0.673,89.94
7.921,0.803,96.41
6.655,1.429,93.43
6.466,0.414,100.24
3.723,1.219,82.67
1.13,1.031,82.34
3.116,1.09,84.63
8.612,0.963,92.63
3.207,1.459,81.63
5.065,0.532,105.09
1.041,0.627,86.85
10.131,0.344,92.79
2.699,0.124,103.0
3.944,0.359,100.14
10.684,1.377,90.48
6.608,1.268,97.21
10.319,0.213,92.21
8.037,0.925,95.03
9.159,0.745,91.37
2.006,0.912,84.78
6.953,1.006,101.8
6.585,0.495,99.52
10.585,1.444,90.64
4.974,0.725,102.52
7.58,0.961,97.84
1.652,0.971,83.29
5.264,0.317,101.09
4.553,0.14,106.53
2.652,0.647,92.21
9.98,1.158,92.11
5.174,1.232,91.18
11.766,1.108,90.09
7.49,0.214,93.94
7.656,1.374,98.18
8.018,1.213,98.08
8.441,1.323,97.58
2.659,0.809,89.86
5.843,1.378,91.42
3.635,0.118,105.43
5.427,0.094,99.9
2.064,0.079,99.55
11.646,0.417,93.98
3.365,0.41,100.43
8.389,0.322,92.52
4.305,0.872,93.72
10.615,0.107,90.86
8.284,0.906,95.02
2.448,0.291,98.79
10.296,1.033,89.88
11.394,0.081,91.94
10.943,0.5,91.39
7.267,1.411,97.42
2.6,0.831,85.58
3.117,1.227,82.29
11.207,1.004,89.11
7.076,0.936,101.13
2.986,0.327,98.79
10.725,0.883,91.14
8.057,0.108,94.45
7.267,1.212,99.03
5.139,1.442,84.68
5.521,1.288,91.25
3.634,0.124,105.45
1.419,0.541,88.01
10.638,0.511,92.1
6.145,0.213,100.87
7.024,0.959,99.94
4.544,1.206,87.4
9.265,0.505,90.38
1.277,1.301,79.67
5.094,1.206,89.06
1.334,0.237,92.58
2.352,1.162,83.73
11.639,1.33,88.18
8.235,0.336,93.94
5.71,0.882,102.36
6.761,0.976,100.96
10.601,0.934,90.99
4.786,0.19,106.53
7.493,1.009,98.85
8.521,0.966,93.9
4.91,1.245,87.01
6.71,1.215,98.55
9.418,0.524,93.3
11.001,1.097,91.02
2.662,1.308,79.6
11.268,1.345,88.35
1.057,0.284,91.67
9.283,0.089,92.52
9.916,0.994,90.55
2.504,0.361,96.72
5.608,0.867,100.81
9.968,1.42,92.07
