time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-08 00:00:00,17.1,10.2,64,0,,113,9.4,,1021.9,,1
2026-08-08 01:00:00,16.3,11.7,74,0,,124,8.3,,1021.8,,1
2026-08-08 02:00:00,15.3,11.9,80,0,,133,8.6,,1021.6,,1
2026-08-08 03:00:00,14.5,11.1,80,0,,149,8.3,,1021.3,,1
2026-08-08 04:00:00,13.7,10.1,79,0,,164,8.6,,1021.2,,1
2026-08-08 05:00:00,13.2,9.8,80,0,,148,11.2,,1021.1,,1
2026-08-08 06:00:00,13.5,9.4,76,0,,162,11.5,,1021.2,,2
2026-08-08 07:00:00,15.2,9.5,69,0,,178,12.6,,1021.2,,2
2026-08-08 08:00:00,17.4,10,62,0,,187,9.7,,1021.2,,2
2026-08-08 09:00:00,20,9.8,52,0,,193,11.5,,1021,,1
2026-08-08 10:00:00,22.3,5.7,34,0,,189,13.3,,1020.7,,2
2026-08-08 11:00:00,23.7,6.9,34,0,,192,14,,1020.5,,3
2026-08-08 12:00:00,24.8,7.4,33,0,,188,14.4,,1020,,3
2026-08-08 13:00:00,25.7,7.3,31,0,,188,14.8,,1019.2,,3
2026-08-08 14:00:00,26.5,7,29,0,,190,14.8,,1018.4,,3
2026-08-08 15:00:00,27,6.9,28,0,,191,14.4,,1017.7,,3
2026-08-08 16:00:00,27.2,7.1,28,0,,191,14,,1017.2,,3
2026-08-08 17:00:00,27,7.4,29,0,,198,14.4,,1016.8,,3
2026-08-08 18:00:00,26.5,7.5,30,0,,205,14,,1016.6,,3
2026-08-08 19:00:00,25.9,7.5,31,0,,212,13,,1016.4,,3
2026-08-08 20:00:00,24.2,7.8,35,0,,203,10.1,,1016.3,,3
2026-08-08 21:00:00,22.1,8.6,42,0,,160,14,,1016.6,,3
2026-08-08 22:00:00,21.6,8.8,44,0,,161,18,,1016.8,,3
2026-08-08 23:00:00,20.5,8.8,47,0,,165,15.1,,1016.8,,3
2026-08-09 00:00:00,19.8,8.5,48,0,,166,13,,1016.7,,3
2026-08-09 01:00:00,19.1,8.7,51,0,,173,11.2,,1016.1,,3
2026-08-09 02:00:00,17.8,9.4,58,0,,174,9.4,,1015.6,,2
2026-08-09 03:00:00,17.1,9.8,62,0,,175,8.6,,1015.2,,3
2026-08-09 04:00:00,16.3,9.7,65,0,,188,8.3,,1014.9,,1
2026-08-09 05:00:00,15.7,9.1,65,0,,202,6.5,,1014.6,,1
2026-08-09 06:00:00,15.4,8.6,64,0,,232,6.1,,1014.5,,1
2026-08-09 07:00:00,17.3,8.4,56,0,,213,6.5,,1014.6,,3
2026-08-09 08:00:00,19.2,8.8,51,0,,197,5.8,,1014.4,,3
2026-08-09 09:00:00,22.1,7.9,40,0,,240,5.8,,1014.3,,2
2026-08-09 10:00:00,24.3,7,33,0,,246,6.1,,1014.3,,1
2026-08-09 11:00:00,25.8,6.4,29,0,,236,6.5,,1014.3,,2
2026-08-09 12:00:00,27,5.8,26,0,,226,7.2,,1013.8,,2
2026-08-09 13:00:00,28.1,6.2,25,0,,220,8.3,,1013.2,,2
2026-08-09 14:00:00,29.2,6.5,24,0,,221,10.1,,1012.5,,3
2026-08-09 15:00:00,30.7,6.5,22,0,,231,17.3,,1011.7,,2
2026-08-09 16:00:00,30.7,6.5,22,0,,228,16.6,,1011,,3
2026-08-09 17:00:00,30.3,7.5,24,0,,272,15.8,,1010.7,,3
2026-08-09 18:00:00,29.7,7.6,25,0,,287,16.6,,1010.6,,1
2026-08-09 19:00:00,29,7.5,26,0,,282,17.6,,1010.7,,1
2026-08-09 20:00:00,26.4,8.8,33,0,,246,13.7,,1010.8,,2
2026-08-09 21:00:00,24.9,8.4,35,0,,233,18,,1011.6,,3
2026-08-09 22:00:00,24.7,9.4,38,0,,264,20.5,,1012.4,,3
2026-08-09 23:00:00,22.8,9.6,43,0,,310,16.2,,1013.3,,3
2026-08-10 00:00:00,21.5,9.1,45,0,,300,14.8,,1013.8,,2
2026-08-10 01:00:00,20.5,9.4,49,0,,292,12.6,,1014.1,,3
2026-08-10 02:00:00,19.6,9.5,52,0,,291,12.2,,1014.1,,3
2026-08-10 03:00:00,18.7,9.5,55,0,,289,11.9,,1014.4,,2
2026-08-10 04:00:00,17.9,10,60,0,,289,11.5,,1014.8,,1
2026-08-10 05:00:00,17.3,10.9,66,0,,284,11.9,,1015.2,,1
2026-08-10 06:00:00,17,12.1,73,0,,289,11.9,,1015.8,,2
2026-08-10 07:00:00,19,13,68,0,,310,7,,1017,,3
2026-08-10 08:00:00,19,14,73,0,,340,11,,1017,,3
2026-08-10 09:00:00,18,13.1,73,0,,350,11,,1018,,3
2026-08-10 10:00:00,20,12,60,0,,360,7,,1019,,3
2026-08-10 11:00:00,21,11,53,0,,320,9,,1019,,2
2026-08-10 12:00:00,22,8.8,43,0,,340,7,,1020,,3
2026-08-10 13:00:00,22,8.1,41,0,,330,8,,1020,,3
2026-08-10 14:00:00,23,5.9,33,0,,20,7,,1020,,3
2026-08-10 15:00:00,24,8,36,0,,24,7,,1020,,3
2026-08-10 16:00:00,24,8,36,0,,40,8,,1020,,3
2026-08-10 17:00:00,24,7.2,34,0,,40,6,,1020,,3
2026-08-10 18:00:00,22.7,7.3,37,0,,49,10.1,,1020.5,,3
2026-08-10 19:00:00,22,7.8,40,0,,46,11.2,,1021.1,,3
2026-08-10 20:00:00,20.8,9.1,47,0,,53,13,,1021.7,,3
2026-08-10 21:00:00,19.5,9.4,52,0,,90,14,,1022.6,,2
2026-08-10 22:00:00,18.4,9.5,56,0,,106,13.3,,1023.2,,3
2026-08-10 23:00:00,17.4,10.3,63,0,,112,12.6,,1023.6,,3
2026-08-11 00:00:00,16.6,10.7,68,0,,114,10.4,,1023.9,,3
2026-08-11 01:00:00,15.8,11,73,0,,123,9.7,,1024,,2
2026-08-11 02:00:00,15.3,11.3,77,0,,125,9,,1024.1,,1
2026-08-11 03:00:00,14.8,11.6,81,0,,120,8.6,,1024.2,,1
2026-08-11 04:00:00,14.4,11.7,84,0,,110,9.4,,1024.1,,1
2026-08-11 05:00:00,14.1,11.8,86,0,,104,9,,1024.2,,1
2026-08-11 06:00:00,13.9,11.8,87,0,,99,9,,1024.5,,1
2026-08-11 07:00:00,15.2,12,81,0,,88,10.8,,1024.9,,1
2026-08-11 08:00:00,17.4,11.9,70,0,,100,13.3,,1025.1,,1
2026-08-11 09:00:00,19.4,11.2,59,0,,114,15.8,,1025.3,,1
2026-08-11 10:00:00,21.2,9.4,47,0,,118,15.8,,1025.3,,1
2026-08-11 11:00:00,22.6,9,42,0,,119,15.8,,1025.2,,1
2026-08-11 12:00:00,23.7,8.9,39,0,,120,15.8,,1025,,2
2026-08-11 13:00:00,24.4,9.2,38,0,,121,15.5,,1024.7,,3
2026-08-11 14:00:00,26,10.2,37,0,,150,7,,1024,,2
2026-08-11 15:00:00,26,10.2,37,0,,120,7,,1024,,2
2026-08-11 16:00:00,25,8.9,36,0,,120,7,,1024,,3
2026-08-11 17:00:00,25,7.1,32,0,,130,9,,1023,,1
2026-08-11 18:00:00,23.6,7.6,36,0,,114,18.4,,1023.4,,1
2026-08-11 19:00:00,22.2,7.6,39,0,,119,17.6,,1023.8,,1
2026-08-11 20:00:00,20.6,8.2,45,0,,121,16.2,,1024.3,,1
2026-08-11 21:00:00,19.1,9.3,53,0,,113,13,,1024.8,,1
2026-08-11 22:00:00,17.9,11.2,65,0,,104,13,,1025.3,,1
2026-08-11 23:00:00,17.2,12.3,73,0,,106,13.3,,1025.4,,3
2026-08-12 00:00:00,16.8,12.7,77,0,,106,13.3,,1025.5,,3
2026-08-12 01:00:00,16.8,13.1,79,0,,105,13.7,,1024.9,,3
2026-08-12 02:00:00,16.8,13.1,79,0,,105,14.4,,1024.5,,3
