time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-12 00:00:00,16.8,12.7,77,0,,106,13.3,,1025.5,,3
2026-08-12 01:00:00,16.8,13.1,79,0,,105,13.7,,1024.9,,3
2026-08-12 02:00:00,16.8,13.1,79,0,,105,14.4,,1024.5,,3
2026-08-12 03:00:00,17,13.3,79,0,,112,14,,1024.4,,3
2026-08-12 04:00:00,16.7,13.4,81,0,,115,13,,1024.3,,3
2026-08-12 05:00:00,16.4,13.5,83,0,,115,13,,1024.2,,3
2026-08-12 06:00:00,16.2,13.7,85,0,,116,13.7,,1024.3,,3
2026-08-12 07:00:00,20,15,73,0,,140,4,,1024,,3
2026-08-12 08:00:00,21,15.1,69,0,,140,7,,1024,,3
2026-08-12 09:00:00,23,14,57,0,,140,7,,1024,,1
2026-08-12 10:00:00,25,12.9,47,0,,140,7,,1024,,1
2026-08-12 11:00:00,27,11.8,39,0,,130,5,,1024,,1
2026-08-12 12:00:00,28,11.1,35,0,,150,7,,1023,,1
2026-08-12 13:00:00,29,11.1,33,0,,170,6,,1023,,3
2026-08-12 14:00:00,31,9.8,27,0,,160,7,,1023,,3
2026-08-12 15:00:00,32,6.2,20,0,,170,5,,1022,,3
2026-08-12 16:00:00,31,8,24,0,,150,8,,1022,,1
2026-08-12 17:00:00,31,6.8,22,0,,170,6,,1022,,1
2026-08-12 18:00:00,29.3,9.4,29,0,,126,12.2,,1022.6,,1
2026-08-12 19:00:00,27.4,9.2,32,0,,124,12.2,,1022.6,,1
2026-08-12 20:00:00,25.3,9.6,37,0,,123,13.3,,1022.9,,1
2026-08-12 21:00:00,23.1,10.2,44,0,,126,14,,1023.3,,1
2026-08-12 22:00:00,21.6,10.7,50,0,,127,13.3,,1023.5,,1
2026-08-12 23:00:00,20.6,11,54,0,,127,11.9,,1023.8,,1
2026-08-13 00:00:00,19.9,11.4,58,0,,132,10.8,,1023.8,,1
2026-08-13 01:00:00,19.2,11.5,61,0,,136,9.4,,1023.5,,1
2026-08-13 02:00:00,18.5,11.8,65,0,,134,8.3,,1023.3,,1
2026-08-13 03:00:00,17.9,12.1,69,0,,132,8.3,,1022.9,,1
2026-08-13 04:00:00,17.3,12.6,74,0,,131,7.9,,1022.6,,1
2026-08-13 05:00:00,16.8,13.1,79,0,,126,7.6,,1022.4,,1
2026-08-13 06:00:00,16.5,13.4,82,0,,113,7.6,,1022.5,,1
2026-08-13 07:00:00,20,13,64,0,,114,1,,1022,,1
2026-08-13 08:00:00,22,13.1,57,0,,93,2,,1022,,1
2026-08-13 09:00:00,28,11.9,37,0,,96,1,,1022,,1
2026-08-13 10:00:00,30,11,31,0,,140,2,,1022,,1
2026-08-13 11:00:00,32,8.9,24,0,,109,4,,1021,,1
2026-08-13 12:00:00,33,7,20,0,,116,3,13,1021,,1
2026-08-13 13:00:00,34,7.1,19,0,,170,6,,1020,,1
2026-08-13 14:00:00,33.9,7,19,0,,128,6.8,,1020.2,,1
2026-08-13 15:00:00,34.5,7.5,19,0,,141,7.2,,1019.6,,1
2026-08-13 16:00:00,34.8,7.7,19,0,,151,8.3,,1019.2,,1
2026-08-13 17:00:00,35,7.9,19,0,,160,10.8,,1018.8,,1
2026-08-13 18:00:00,34.7,8.4,20,0,,163,14.4,,1018.4,,1
2026-08-13 19:00:00,32.8,8.9,23,0,,138,18.7,,1018.1,,2
2026-08-13 20:00:00,29.8,9.3,28,0,,138,18,,1018.3,,1
2026-08-13 21:00:00,27.9,9.2,31,0,,155,17.3,,1018.6,,1
2026-08-13 22:00:00,26.8,10,35,0,,166,15.1,,1018.5,,1
2026-08-13 23:00:00,26.2,10.3,37,0,,183,12.6,,1018.5,,1
2026-08-14 00:00:00,25.7,9.5,36,0,,198,11.9,,1018.2,,1
2026-08-14 01:00:00,25,8.9,36,0,,207,11.2,,1018,,1
2026-08-14 02:00:00,24.2,9.7,40,0,,220,10.1,,1017.8,,1
2026-08-14 03:00:00,23.3,11,46,0,,234,8.6,,1017.5,,1
2026-08-14 04:00:00,22.2,11.9,52,0,,259,7.6,,1017.4,,1
2026-08-14 05:00:00,21.3,13.2,60,0,,284,7.2,,1017.5,,1
2026-08-14 06:00:00,20.6,14,66,0,,290,7.9,,1017.6,,1
2026-08-14 07:00:00,23,15.1,61,0,,300,6,,1018,,1
2026-08-14 08:00:00,24,14.9,57,0,,310,6,,1018,,1
2026-08-14 09:00:00,26,16,54,0,,340,4,,1017,,1
2026-08-14 10:00:00,28,16,48,0,,300,4,,1017,,2
2026-08-14 11:00:00,29,15.8,45,0,,280,5,,1017,,3
2026-08-14 12:00:00,31,15.8,40,0,,290,5,,1016,,3
2026-08-14 13:00:00,31.1,14.2,36,0,,296,7.6,,1016.4,,3
